Time,Distance,X,Y,Speed,Throttle,Brake,RPM,nGear,DRS,LapID,PointIndex,Year,GrandPrix,Session,Driver,LapNumber,LapTime_s,Time_s
0 days 00:00:00,0.0068264549751961,-1371.716357796453,-651.8874576710479,315.2124992,100.0,False,11615.8062432,8,8,1,0,2023,Italian Grand Prix,R,HAM,29.0,85.582,0.0
0 days 00:00:00.143000,12.601388888888886,-1365.7072935893666,-584.414745512386,317.0,100.0,False,11631.0,8,8,1,1,2023,Italian Grand Prix,R,HAM,29.0,85.582,0.143
0 days 00:00:00.257000,22.67326266947985,-1359.0,-508.0,317.6333326222222,100.0,False,11657.916636444445,8,8,1,2,2023,Italian Grand Prix,R,HAM,29.0,85.582,0.257
0 days 00:00:00.477000,42.18837199853512,-1342.0,-314.0,318.85555484444444,100.0,False,11709.86108088889,8,8,1,3,2023,Italian Grand Prix,R,HAM,29.0,85.582,0.477
0 days 00:00:00.503000,44.50138888888888,-1339.8808322625011,-290.324519579253,319.0,100.0,False,11716.0,8,8,1,4,2023,Italian Grand Prix,R,HAM,29.0,85.582,0.503
0 days 00:00:00.676000,59.925832196503016,-1326.0,-137.0,320.2357138285714,100.0,False,11762.957125485715,8,8,1,5,2023,Italian Grand Prix,R,HAM,29.0,85.582,0.676
0 days 00:00:00.783000,69.46805555555555,-1318.21356117695,-48.991480717970404,321.0,100.0,False,11792.0,8,8,1,6,2023,Italian Grand Prix,R,HAM,29.0,85.582,0.783
0 days 00:00:00.896000,79.53088245570207,-1309.0,57.0,321.0,100.0,False,11840.0249728,8,8,1,7,2023,Italian Grand Prix,R,HAM,29.0,85.582,0.896
0 days 00:00:01.023000,90.86805555555554,-1295.1732697989482,216.92409416665615,321.0,100.0,False,11894.0,8,8,1,8,2023,Italian Grand Prix,R,HAM,29.0,85.582,1.023
0 days 00:00:01.236000,110.0674288543803,-1272.0,486.0,323.12999936,100.0,False,11931.80748864,8,8,1,9,2023,Italian Grand Prix,R,HAM,29.0,85.582,1.236
0 days 00:00:01.423000,126.97916666666666,-1264.0522893381187,579.1949752226693,325.0,100.0,False,11965.0,8,14,1,10,2023,Italian Grand Prix,R,HAM,29.0,85.582,1.423
0 days 00:00:01.583000,141.4236111111111,-1256.2022811088132,671.0196468925166,325.0,100.0,False,11978.0,8,14,1,11,2023,Italian Grand Prix,R,HAM,29.0,85.582,1.583
0 days 00:00:01.597000,142.69194833860976,-1255.0,685.0,325.14999862857144,100.0,False,11984.049944685714,8,14,1,12,2023,Italian Grand Prix,R,HAM,29.0,85.582,1.597
0 days 00:00:01.817000,162.7352923534703,-1230.0,975.0,327.50714148571427,100.0,False,12079.121373257143,8,14,1,13,2023,Italian Grand Prix,R,HAM,29.0,85.582,1.817
0 days 00:00:01.863000,166.9347222222222,-1226.0224426908253,1021.1061876758992,328.0,100.0,False,12099.0,8,12,1,14,2023,Italian Grand Prix,R,HAM,29.0,85.582,1.863
0 days 00:00:02.023000,181.55694444444444,-1217.880326084799,1115.387169437706,329.0,100.0,False,12087.0,8,12,1,15,2023,Italian Grand Prix,R,HAM,29.0,85.582,2.023
0 days 00:00:02.156000,193.796565769032,-1211.0,1194.0,330.2468744,100.0,False,12127.7312304,8,12,1,16,2023,Italian Grand Prix,R,HAM,29.0,85.582,2.156
0 days 00:00:02.343000,211.06805555555553,-1196.1382438187306,1362.6551448207906,332.0,100.0,False,12185.0,8,12,1,17,2023,Italian Grand Prix,R,HAM,29.0,85.582,2.343
0 days 00:00:02.416000,217.79348418607776,-1190.0,1433.0,332.0,100.0,False,12204.8468576,8,12,1,18,2023,Italian Grand Prix,R,HAM,29.0,85.582,2.416
0 days 00:00:02.656000,239.9290271125476,-1171.0,1654.0,332.0,100.0,False,12270.0968576,8,12,1,19,2023,Italian Grand Prix,R,HAM,29.0,85.582,2.656
0 days 00:00:02.663000,240.57916666666662,-1170.439205220524,1660.4764911513016,332.0,100.0,False,12272.0,8,12,1,20,2023,Italian Grand Prix,R,HAM,29.0,85.582,2.663
0 days 00:00:02.756000,249.24576519415348,-1163.0,1746.0,333.85999872,100.0,False,12278.50999552,8,12,1,21,2023,Italian Grand Prix,R,HAM,29.0,85.582,2.756
0 days 00:00:02.863000,259.2458333333333,-1155.1428837065948,1836.1589168598389,336.0,100.0,False,12286.0,8,12,1,22,2023,Italian Grand Prix,R,HAM,29.0,85.582,2.863
0 days 00:00:03.063000,277.91249999999997,-1139.7207331560883,2014.1978685800577,336.0,100.0,False,12349.0,8,12,1,23,2023,Italian Grand Prix,R,HAM,29.0,85.582,3.063
0 days 00:00:03.115000,282.7745325612424,-1134.0,2081.0,336.26,100.0,False,12358.1,8,12,1,24,2023,Italian Grand Prix,R,HAM,29.0,85.582,3.115
0 days 00:00:03.263000,296.63472222222214,-1113.8870716182123,2317.06446522191,337.0,100.0,False,12384.0,8,12,1,25,2023,Italian Grand Prix,R,HAM,29.0,85.582,3.263
0 days 00:00:03.316000,301.6014687555693,-1107.0,2398.0,337.06309516190476,100.0,False,12385.3249984,8,12,1,26,2023,Italian Grand Prix,R,HAM,29.0,85.582,3.316
0 days 00:00:04.056000,371.0820885284986,-1059.0,2960.0,337.94404754285716,100.0,False,12403.8249984,8,12,1,27,2023,Italian Grand Prix,R,HAM,29.0,85.582,4.056
0 days 00:00:04.103000,375.50138888888875,-1055.617540906937,2999.3634939480567,338.0,100.0,False,12405.0,8,12,1,28,2023,Italian Grand Prix,R,HAM,29.0,85.582,4.103
0 days 00:00:04.376000,401.1973339225108,-1033.0,3260.0,338.8531248,100.0,False,12468.98436,8,12,1,29,2023,Italian Grand Prix,R,HAM,29.0,85.582,4.376
0 days 00:00:04.423000,405.63472222222214,-1029.0350551586616,3304.4841332362885,339.0,100.0,False,12480.0,8,12,1,30,2023,Italian Grand Prix,R,HAM,29.0,85.582,4.423
