Team,count,mean,median,std,min,max
Red Bull Racing,98,86.2824387755102,86.161,0.7089213974477796,85.24,89.806
Ferrari,98,86.42025510204081,86.41550000000001,0.6334337337692008,85.501,88.755
Mercedes,98,86.7509387755102,86.6095,0.8141524948513742,85.582,92.011
McLaren,95,86.99882105263158,86.909,0.8092099506512037,85.072,91.513
AlphaTauri,45,86.95746666666668,87.089,0.5932494339728425,85.842,88.059
Aston Martin,95,87.30033684210525,87.156,0.8087526330717891,86.105,91.134
Alfa Romeo,92,87.20868478260869,87.1585,0.6394149958428715,85.983,89.044
Williams,96,87.2679375,87.1675,0.6435104679555872,86.389,90.785
Haas F1 Team,91,87.44175824175824,87.344,0.9725161791360178,85.894,92.72
Alpine,80,87.3696875,87.34899999999999,0.7058542466850296,85.758,89.474
