Driver,count,mean,median,std,min,max
VER,49,86.21702040816326,86.05,0.7055619949667796,85.24,88.393
PER,49,86.34785714285715,86.354,0.7134802905476753,85.522,89.806
SAI,49,86.40126530612245,86.358,0.6019765629266013,85.501,88.219
RUS,49,86.5709387755102,86.426,0.5746021597651819,85.847,89.339
LEC,49,86.43924489795918,86.473,0.6691215799654814,85.58,88.755
PIA,46,86.87445652173913,86.862,0.8159313071991027,85.072,90.315
ALB,49,87.06822448979591,86.898,0.6743037849424809,86.389,90.785
ALO,48,86.96766666666667,86.929,0.4425024261663649,86.105,88.284
HAM,49,86.9309387755102,86.995,0.9711746411812242,85.582,92.011
NOR,49,87.11557142857144,87.017,0.7934013276184168,86.144,91.513
LAW,45,86.95746666666668,87.089,0.5932494339728425,85.842,88.059
ZHO,45,87.09497777777777,87.153,0.5983303849003005,85.983,88.825
GAS,45,87.06075555555556,87.189,0.5885014542175402,85.758,88.696
BOT,47,87.31755319148937,87.203,0.6645470117341675,85.988,89.044
SAR,47,87.4761489361702,87.293,0.542201870745709,86.84,89.626
HUL,46,87.43667391304348,87.303,1.077268357247429,85.894,92.72
STR,47,87.64008510638297,87.34,0.9503238768232205,86.617,91.134
MAG,45,87.44695555555555,87.384,0.8646553426748477,86.278,90.343
OCO,35,87.7668857142857,87.582,0.6486391986952674,86.963,89.474
