Driver,mean,max,std
HAM,240.67059769471578,348.0,73.26863169880225
OCO,238.25946525896907,344.0,73.31588191121672
LEC,242.7846440113122,340.0,77.28883207721027
PER,242.5853099847028,335.0,73.82213603960057
PIA,241.768080051253,335.0,74.86458266804017
SAR,238.4654213849865,334.0,74.45421692108107
LAW,240.05052054054445,334.0,74.2860362430907
MAG,239.0449403041245,334.0,74.44509408829394
ALO,240.2331882065486,334.0,75.5983195200096
NOR,241.62284671031506,333.0,74.0947027724264
SAI,242.5124021126178,333.0,72.96574996028895
RUS,241.41386640070937,332.0,73.426233914317
STR,239.64663610623634,332.0,73.33688241762151
ALB,239.10727860925255,332.0,73.80363292237006
ZHO,241.70735058001438,331.0,73.19065348373358
BOT,241.3857111955265,329.0,72.49057676547488
VER,242.60833842191707,329.0,71.16256659401374
HUL,241.54622315303217,327.0,71.51237728209924
GAS,240.99890395893027,327.0,70.60802212940064
