Numero,Nombre,Radio_min_m,Distancia_apex_m,Dificultad,N_vueltas,Velocidad_min_kmh,Velocidad_min_std_kmh,Velocidad_entrada_kmh,Frenada_delta_kmh,Uso_freno_pct,R_Radio_Velocidad
1,Rettifilo,24.3,898.4,Alta,3,75.8,2.7,314.7,238.9,88.5,0.804
2,Rettifilo,14.2,932.7,Alta,3,61.9,1.4,223.2,161.3,10.4,0.804
3,Curva Grande,296.6,1328.2,Baja,3,278.1,1.0,278.0,-0.1,0.0,0.804
4,Roggia,34.0,2108.1,Alta,3,103.4,4.6,313.1,209.7,87.6,0.804
5,Roggia,46.8,2131.5,Alta,3,102.6,0.6,241.2,138.6,0.0,0.804
6,Lesmo 1,62.3,2488.0,Media,3,170.4,1.3,245.8,75.4,28.7,0.804
7,Lesmo 2,56.8,2808.3,Media,3,159.6,0.4,240.0,80.4,29.2,0.804
8,Ascari,49.1,3883.4,Media,3,171.5,1.8,301.9,130.4,55.9,0.804
9,Ascari,97.1,4022.1,Baja,3,175.0,0.8,239.2,64.2,0.0,0.804
10,Ascari,79.1,4099.1,Baja,3,226.5,0.3,226.3,-0.2,0.0,0.804
11,Parabolica,71.0,5132.7,Baja,3,185.9,1.5,311.4,125.5,18.5,0.804
